count,wgs_lng,wgs_lat,time
1.0,120.54704797623607,32.35505791929983,2017-12-26-11-02-03
1.0,120.5563206836623,32.35532464361109,2017-12-26-11-02-03
1.0,120.55481725437905,32.355572154711325,2017-12-26-11-02-03
2.0,120.5553184026503,32.35557299304416,2017-12-26-11-02-03
1.0,120.55556897219428,32.35557340843903,2017-12-26-11-02-03
1.0,120.5560701020646,32.355574231656426,2017-12-26-11-02-03
1.0,120.55456665437006,32.35582172756644,2017-12-26-11-02-03
1.0,120.55707228218425,32.35607583912704,2017-12-26-11-02-03
1.0,120.55732283009827,32.356076236746794,2017-12-26-11-02-03
2.0,120.55732280881854,32.35632623237591,2017-12-26-11-02-03
2.0,120.55782389529314,32.356327019925146,2017-12-26-11-02-03
1.0,120.55807443383961,32.356327409843935,2017-12-26-11-02-03
1.0,120.54128176081531,32.35654589074173,2017-12-26-11-02-03
1.0,120.54153248953642,32.35654643653176,2017-12-26-11-02-03
1.0,120.55130879292577,32.356565991316984,2017-12-26-11-02-03
1.0,120.55481716920133,32.356572137381995,2017-12-26-11-02-03
1.0,120.5573227875386,32.35657622792933,2017-12-26-11-02-03
2.0,120.55882600936954,32.3565785596665,2017-12-26-11-02-03
1.0,120.55907653533836,32.3565789392434,2017-12-26-11-02-03
1.0,120.54103100812152,32.35679533832694,2017-12-26-11-02-03
1.0,120.55381481479652,32.35682042619079,2017-12-26-11-02-03
1.0,120.55606999562946,32.35682420980369,2017-12-26-11-02-03
1.0,120.55732276625847,32.35682622340702,2017-12-26-11-02-03
1.0,120.55757331106015,32.356826618464986,2017-12-26-11-02-03
1.0,120.55907651406807,32.35682893472058,2017-12-26-11-02-03
1.0,120.53626661522459,32.35703453510172,2017-12-26-11-02-03
1.0,120.54579443040289,32.357055375239426,2017-12-26-11-02-03
1.0,120.55506770228422,32.35707254868426,2017-12-26-11-02-03
2.0,120.55632053466343,32.35707461301654,2017-12-26-11-02-03
1.0,120.55657109189445,32.35707501828773,2017-12-26-11-02-03
2.0,120.55707219705833,32.357075821189476,2017-12-26-11-02-03
2.0,120.53952652384008,32.35729199791721,2017-12-26-11-02-03
1.0,120.53977727042451,32.3572925582745,2017-12-26-11-02-03
1.0,120.54403956842532,32.35730176286981,2017-12-26-11-02-03
1.0,120.54579440904752,32.35730537056898,2017-12-26-11-02-03
1.0,120.55707217577636,32.357325816515676,2017-12-26-11-02-03
2.0,120.5422845745812,32.3575480426458,2017-12-26-11-02-03
1.0,120.55606993176598,32.35757419578313,2017-12-26-11-02-03
1.0,120.55682160346122,32.35757541159062,2017-12-26-11-02-03
1.0,120.5462957247083,32.35780637158922,2017-12-26-11-02-03
1.0,120.55481704142876,32.358072109115426,2017-12-26-11-02-03
1.0,120.5395264382264,32.35829197848465,2017-12-26-11-02-03
1.0,120.54002792889125,32.35829309714402,2017-12-26-11-02-03
1.0,120.54027867043334,32.35829365338292,2017-12-26-11-02-03
1.0,120.54128161108984,32.358295857527146,2017-12-26-11-02-03
1.0,120.53952641682248,32.35854197343674,2017-12-26-11-02-03
1.0,120.54328734644875,32.35855015906927,2017-12-26-11-02-03
1.0,120.54479155249605,32.35855329789772,2017-12-26-11-02-03
2.0,120.53977714201471,32.35879252866968,2017-12-26-11-02-03
1.0,120.54403944021175,32.358801733257046,2017-12-26-11-02-03
1.0,120.5445408368655,32.358802775147105,2017-12-26-11-02-03
2.0,120.54504222267946,32.358803808173306,2017-12-26-11-02-03
1.0,120.54529291149791,32.35880432134242,2017-12-26-11-02-03
1.0,120.55832475649895,32.35882774930485,2017-12-26-11-02-03
3.0,120.53902487329971,32.35904083627156,2017-12-26-11-02-03
1.0,120.5400278646908,32.35904308177187,2017-12-26-11-02-03
1.0,120.54403941884212,32.35905172805576,2017-12-26-11-02-03
1.0,120.55206042402027,32.359067300177955,2017-12-26-11-02-03
1.0,120.54454079413347,32.35930276466821,2017-12-26-11-02-03
1.0,120.54479148840383,32.359303282293155,2017-12-26-11-02-03
1.0,120.54579423819733,32.359305330473326,2017-12-26-11-02-03
1.0,120.55356401091147,32.359319943923644,2017-12-26-11-02-03
1.0,120.53551405160617,32.35953271478768,2017-12-26-11-02-03
1.0,120.5425351218359,32.359548539225074,2017-12-26-11-02-03
1.0,120.54454077276715,32.359552759314695,2017-12-26-11-02-03
1.0,120.54479146703936,32.359553276939565,2017-12-26-11-02-03
1.0,120.54654625027825,32.35955683759789,2017-12-26-11-02-03
1.0,120.55356398960664,32.35956993856742,2017-12-26-11-02-03
1.0,120.53902480907355,32.35979082021613,2017-12-26-11-02-03
