count,wgs_lng,wgs_lat,time
1.0,114.89803835842105,33.74752798231828,2017-12-26-11-04-20
1.0,114.89903810155766,33.74752788451779,2017-12-26-11-04-20
1.0,114.90453572651272,33.7475265518902,2017-12-26-11-04-20
1.0,114.88628742250178,33.747775820374635,2017-12-26-11-04-20
1.0,114.89653862011883,33.747777978871454,2017-12-26-11-04-20
2.0,114.89678858088934,33.74777797504972,2017-12-26-11-04-20
1.0,114.88603730280722,33.74802564502481,2017-12-26-11-04-20
1.0,114.89303879929146,33.74802767888802,2017-12-26-11-04-20
1.0,114.89403880707393,33.748027799529446,2017-12-26-11-04-20
1.0,114.89578869437115,33.74802790640929,2017-12-26-11-04-20
3.0,114.89628863248043,33.7480279124422,2017-12-26-11-04-20
1.0,114.89653859656741,33.74802791135821,2017-12-26-11-04-20
2.0,114.89678855733774,33.748027907536425,2017-12-26-11-04-20
1.0,114.8970385147878,33.74802790097379,2017-12-26-11-04-20
1.0,114.8975384197131,33.74802787961404,2017-12-26-11-04-20
1.0,114.8977883671815,33.74802786481112,2017-12-26-11-04-20
1.0,114.88903822625217,33.74827670123273,2017-12-26-11-04-20
1.0,114.89928795831385,33.748277650618135,2017-12-26-11-04-20
1.0,114.90028763443073,33.748277497479336,2017-12-26-11-04-20
1.0,114.88478672854121,33.748524932642304,2017-12-26-11-04-20
2.0,114.88578715645389,33.74852539971164,2017-12-26-11-04-20
2.0,114.8865374448761,33.74852572322282,2017-12-26-11-04-20
1.0,114.89078854448255,33.748527115611545,2017-12-26-11-04-20
3.0,114.89128861327615,33.74852722947451,2017-12-26-11-04-20
1.0,114.89378876293203,33.74852763849683,2017-12-26-11-04-20
1.0,114.89628858537722,33.74852777752189,2017-12-26-11-04-20
1.0,114.89753837260798,33.748527744693185,2017-12-26-11-04-20
1.0,114.90903246760175,33.74852418247799,2017-12-26-11-04-20
2.0,114.88478670498698,33.74877486523783,2017-12-26-11-04-20
1.0,114.88528692511488,33.748775103857035,2017-12-26-11-04-20
1.0,114.88653742132347,33.748775655817916,2017-12-26-11-04-20
1.0,114.88678751123727,33.748775758522974,2017-12-26-11-04-20
1.0,114.89453872066846,33.748777641314064,2017-12-26-11-04-20
1.0,114.8947887078655,33.74877765930417,2017-12-26-11-04-20
2.0,114.89553864970259,33.74877769697181,2017-12-26-11-04-20
1.0,114.89678848668152,33.748777705208596,2017-12-26-11-04-20
1.0,114.89728839825668,33.74877768933914,2017-12-26-11-04-20
1.0,114.88103464261008,33.74902268875478,2017-12-26-11-04-20
2.0,114.88678748768459,33.749025691153264,2017-12-26-11-04-20
1.0,114.89378871583024,33.74902750371885,2017-12-26-11-04-20
1.0,114.8945386971172,33.74902757394253,2017-12-26-11-04-20
1.0,114.89653850235936,33.74902764165856,2017-12-26-11-04-20
1.0,114.88303579101066,33.74927381594163,2017-12-26-11-04-20
1.0,114.88353605391073,33.74927408979356,2017-12-26-11-04-20
1.0,114.8837861808076,33.7492742229694,2017-12-26-11-04-20
1.0,114.88603718504196,33.74927530800068,2017-12-26-11-04-20
1.0,114.88678746413167,33.74927562381876,2017-12-26-11-04-20
1.0,114.89278867143372,33.74927730496332,2017-12-26-11-04-20
1.0,114.89328868838393,33.7492773760588,2017-12-26-11-04-20
1.0,114.8935386919656,33.7492774075691,2017-12-26-11-04-20
1.0,114.89503864466971,33.74927753987137,2017-12-26-11-04-20
1.0,114.89628851472062,33.749277575406055,2017-12-26-11-04-20
1.0,114.88128475244014,33.74952271204588,2017-12-26-11-04-20
5.0,114.88228535044374,33.74952331920504,2017-12-26-11-04-20
1.0,114.88703752736883,33.74952565664951,2017-12-26-11-04-20
1.0,114.88928816689821,33.74952644110941,2017-12-26-11-04-20
1.0,114.89353866841418,33.74952734026819,2017-12-26-11-04-20
1.0,114.89453865001396,33.74952743930506,2017-12-26-11-04-20
